platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/154196/,University of Helsinki,"Agricultural, Environmental and Resource Economics ",M.Sc.,On Campus,2 years,Free,"By studying in the Master’s Programme in Agricultural, Environmental and Resource Economics from University of Helsinki, you qualify as an expert with a set of skills needed to address tomorrow’s questions already today. Which question will you solve?",74th ,"English, Finnish, Swedish",120 ECTS,Helsinki,Finland,     92      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.helsinki.fi%2Fen%2Fadmissions%2Fdegree-programmes%2Fagricultural-environmental-and-resource-economics-masters-programme&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTQxOTYiLCJkIjoiQWdyaWN1bHR1cmFsLCBFbnZpcm9ubWVudGFsIGFuZCBSZXNvdXJjZSBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yMDA0fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzAsNTAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC44LjU4IiwicyI6ImFmNDJhNDlkLWQ1ZmEtNGUxOC04ZDRiLWY1NzEzZDU5NWY3NSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5ODU0NDEiLCJkIjoiaHR0cHM6Ly93d3cuaGVsc2lua2kuZmkvZW4vYWRtaXNzaW9ucy9kZWdyZWUtcHJvZ3JhbW1lcy9hZ3JpY3VsdHVyYWwtZW52aXJvbm1lbnRhbC1hbmQtcmVzb3VyY2UtZWNvbm9taWNzLW1hc3RlcnMtcHJvZ3JhbW1lIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,06/09/2021,"Economics, Agriculture, Environmental Sciences"
https://www.mastersportal.com/studies/2469/,University of Helsinki,Economics ,Master,On Campus,2 years,Free,"The Economics programme offered by the University of Helsinki prepares you for a career as an economist in business, financial markets and the public sector.",74th ,"English, Finnish, Swedish",120 ECTS,Helsinki,Finland,     92      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.helsinki.fi%2Fen%2Fadmissions%2Fdegree-programmes%2Feconomics-masters-programme&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNDY5IiwiZCI6IkVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOiJkaS00fGVuLTIwMDR8bHYtbWFzdGVyfHRjLUVVUnx0ci1bMCw1MDBdfHVjLTExfHVyLTM4IiwidSI6eyJpIjoiMTcyLjMwLjguNTgiLCJzIjoiYWY0MmE0OWQtZDVmYS00ZTE4LThkNGItZjU3MTNkNTk1Zjc1IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk5NjU1NSIsImQiOiJodHRwczovL3d3dy5oZWxzaW5raS5maS9lbi9hZG1pc3Npb25zL2RlZ3JlZS1wcm9ncmFtbWVzL2Vjb25vbWljcy1tYXN0ZXJzLXByb2dyYW1tZSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,06/09/2021,"Economics, Finance, Natural Sciences"
https://www.mastersportal.com/studies/16335/,Tor Vergata University of Rome,Finance and Banking ,M.Sc.,On Campus,2 years,156,The Master of Science in Finance and Banking offered at Tor Vergata University of Rome is a two-year program of quantitative methods for finance designed for highly talented students who wish to study mathematical and statistical techniques applied to financial markets. ,401st ,English,120 ECTS,Roma,Italy,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Feconomia.uniroma2.it%2Fmaster-science%2Ffinanceandbanking&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjMzNSIsImQiOiJGaW5hbmNlIGFuZCBCYW5raW5nIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjAwNHxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVswLDUwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOC41OCIsInMiOiJhZjQyYTQ5ZC1kNWZhLTRlMTgtOGQ0Yi1mNTcxM2Q1OTVmNzUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTU5ODg4IiwiZCI6Imh0dHBzOi8vZWNvbm9taWEudW5pcm9tYTIuaXQvbWFzdGVyLXNjaWVuY2UvZmluYW5jZWFuZGJhbmtpbmciLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,16/08/2021,01/09/2021,"Economics, Finance"
https://www.mastersportal.com/studies/17688/,University of Copenhagen,Mathematics-Economics ,M.Sc.,On Campus,2 years,Free,"At the Mathematics-Economics programme at the University of Copenhagen, you will work with economic modeling and its deeper foundation in advanced mathematics and statistics. ",33rd ,English,120 ECTS,Copenhagen,Denmark,     83      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudies.ku.dk%2Fmasters%2Fmathematics-economics%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNzY4OCIsImQiOiJNYXRoZW1hdGljcy1FY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yMDA0fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzAsNTAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC44LjU4IiwicyI6ImFmNDJhNDlkLWQ1ZmEtNGUxOC04ZDRiLWY1NzEzZDU5NWY3NSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5ODI1NTciLCJkIjoiaHR0cHM6Ly9zdHVkaWVzLmt1LmRrL21hc3RlcnMvbWF0aGVtYXRpY3MtZWNvbm9taWNzLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,01/03/2021,01/09/2021,"Economics, Mathematics"
https://www.mastersportal.com/studies/37104/,Stockholm School of Economics,Economics ,M.Sc.,On Campus,2 years,Free,The MSc program in Economics from Stockholm School of Economics will equip you to address challenging economic problems and provide you with excellent tools to pursue careers in both the public and private sector.,401st ,English,120 ECTS,Stockholm,Sweden,     100      ,     7      ,     600      ,     155  (quantitative)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.hhs.se%2Fmecon&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzNzEwNCIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yMDA0fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzAsNTAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC44LjU4IiwicyI6ImFmNDJhNDlkLWQ1ZmEtNGUxOC04ZDRiLWY1NzEzZDU5NWY3NSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NjI2MzYiLCJkIjoiaHR0cHM6Ly93d3cuaGhzLnNlL21lY29uIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,25/08/2021,Economics
https://www.mastersportal.com/studies/2108/,Hanken School of Economics,Economics ,M.Sc.,On Campus,2 years,Free,The Economics programme at Hanken School of Economics welcomes applications from research-oriented students holding a Master’s degree.,.,English,120 ECTS,Helsinki,Finland,     92      ,     6.5      ,     600      ,     150  (verbal)     150  (quantitative)     3.5  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.hanken.fi%2Fen%2Fnode%2F490716%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMTA4IiwiZCI6IkVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOiJkaS00fGVuLTIwMDR8bHYtbWFzdGVyfHRjLUVVUnx0ci1bMCw1MDBdfHVjLTExfHVyLTM4IiwidSI6eyJpIjoiMTcyLjMwLjguNTgiLCJzIjoiYWY0MmE0OWQtZDVmYS00ZTE4LThkNGItZjU3MTNkNTk1Zjc1IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTg3MTM1MyIsImQiOiJodHRwczovL3d3dy5oYW5rZW4uZmkvZW4vbm9kZS80OTA3MTYvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,01/08/2021,"Economics, Business Administration"
https://www.mastersportal.com/studies/305509/,University of Technology Sydney,Health Policy and Economics ,Master,Online,2 years,.,"The Master of Health Policy and Economics (MHPE) at University of Technology Sydney delivers a rich, high-quality program for those interested in the development, implementation and evaluation of health policy and health technology.",133rd ,English,60 alternative credits,Sydney,.,     79      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.uts.edu.au%2Ffuture-students%2Ffind-a-course%2Fmaster-health-policy-and-economics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDU1MDkiLCJkIjoiSGVhbHRoIFBvbGljeSBhbmQgRWNvbm9taWNzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjAwNHxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVswLDUwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOC41OCIsInMiOiJhZjQyYTQ5ZC1kNWZhLTRlMTgtOGQ0Yi1mNTcxM2Q1OTVmNzUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYzMDY5IiwiZCI6Imh0dHBzOi8vd3d3LnV0cy5lZHUuYXUvZnV0dXJlLXN0dWRlbnRzL2ZpbmQtYS1jb3Vyc2UvbWFzdGVyLWhlYWx0aC1wb2xpY3ktYW5kLWVjb25vbWljcyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,22/02/2021,"Economics, Public Policy"
https://www.mastersportal.com/studies/12373/,University of Copenhagen,Agricultural Economics ,M.Sc.,On Campus,2 years,Free,"Resources on earth are scarce and the needs plentiful. As a student in the Agricultural Economics programme at the University of Copenhagen, you will be equipped with methods and tools that can help tackle these huge challenges.",33rd ,English,120 ECTS,Copenhagen,Denmark,     83      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudies.ku.dk%2Fmasters%2Fagricultural-economics%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxMjM3MyIsImQiOiJBZ3JpY3VsdHVyYWwgRWNvbm9taWNzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjAwNHxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVswLDUwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOC41OCIsInMiOiJhZjQyYTQ5ZC1kNWZhLTRlMTgtOGQ0Yi1mNTcxM2Q1OTVmNzUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTgyNjgzIiwiZCI6Imh0dHBzOi8vc3R1ZGllcy5rdS5kay9tYXN0ZXJzL2FncmljdWx0dXJhbC1lY29ub21pY3MvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,01/03/2021,01/09/2021,"Economics, Agribusiness, Agriculture"
https://www.mastersportal.com/studies/305511/,University of Technology Sydney,Health Policy and Economics ,Master,Online,1 year,.,"The Graduate Certificate in Health Policy and Economics at University of Technology Sydney delivers a high-quality online program for those interested in developing core skills in health economics, policy development and evaluation.",133rd ,English,36 alternative credits,Sydney,.,     79      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.uts.edu.au%2Ffuture-students%2Ffind-a-course%2Fgraduate-certificate-health-policy-and-economics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDU1MTEiLCJkIjoiSGVhbHRoIFBvbGljeSBhbmQgRWNvbm9taWNzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjAwNHxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVswLDUwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOC41OCIsInMiOiJhZjQyYTQ5ZC1kNWZhLTRlMTgtOGQ0Yi1mNTcxM2Q1OTVmNzUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYzMDc2IiwiZCI6Imh0dHBzOi8vd3d3LnV0cy5lZHUuYXUvZnV0dXJlLXN0dWRlbnRzL2ZpbmQtYS1jb3Vyc2UvZ3JhZHVhdGUtY2VydGlmaWNhdGUtaGVhbHRoLXBvbGljeS1hbmQtZWNvbm9taWNzIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/01/2021,22/02/2021,"Economics, Public Health, Health Sciences"
https://www.mastersportal.com/studies/302391/,Jönköping University,Applied Economics and Data Analysis ,M.Sc.,On Campus,2 years,Free,This master programme in Applied Economics and Data Analysis from Jönköping University continue to build upon what you have learned before by focusing on applications of theories and econometric tools. ,.,English,120 ECTS,Jönköping,Sweden,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fju.se%2Fen%2Fstudy-at-ju%2Four-programmes%2Fmaster-programmes%2Fapplied-economics-and-data-analysis.html&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDIzOTEiLCJkIjoiQXBwbGllZCBFY29ub21pY3MgYW5kIERhdGEgQW5hbHlzaXMiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yMDA0fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzAsNTAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC44LjU4IiwicyI6ImFmNDJhNDlkLWQ1ZmEtNGUxOC04ZDRiLWY1NzEzZDU5NWY3NSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNTkzNDciLCJkIjoiaHR0cHM6Ly9qdS5zZS9lbi9zdHVkeS1hdC1qdS9vdXItcHJvZ3JhbW1lcy9tYXN0ZXItcHJvZ3JhbW1lcy9hcHBsaWVkLWVjb25vbWljcy1hbmQtZGF0YS1hbmFseXNpcy5odG1sIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=f5ff59f0-6681-46f3-b464-a475e3f07015&sid=2bf60467-38fc-4094-9da9-0c9f0d750829,15/05/2021,17/08/2021,"Economics, Econometrics, Data Science & Big Data"
