platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines,tuitiontype
https://www.mastersportal.com/studies/293488/,University of Texas at Austin,Data Science and Business Analytics ,Postgraduate Certificate,Online,7 months,"4,108",The Post Graduate Program in Data Science and Business Analytics (PGP-DSBA) is a 7-month online program offered by the McCombs School of Business at The University of Texas at Austin and delivered in collaboration with Great Learning.,41st ,English,Online,Austin,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.mygreatlearning.com%2Fus%2Fdata-science%2Fcourses%2Fpg-program-data-science-business-analytics-course%3Futm_source%3Dstudyportals%26utm_campaign%3Dlisting%26utm_medium%3Dlink&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTM0ODgiLCJkIjoiRGF0YSBTY2llbmNlIGFuZCBCdXNpbmVzcyBBbmFseXRpY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDk4ZjhhYWQtMDIzZS00NTI4LWJkYzQtNjI1ZjMwYjc2YmVmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE0OTE2MSIsImQiOiJodHRwczovL3d3dy5teWdyZWF0bGVhcm5pbmcuY29tL3VzL2RhdGEtc2NpZW5jZS9jb3Vyc2VzL3BnLXByb2dyYW0tZGF0YS1zY2llbmNlLWJ1c2luZXNzLWFuYWx5dGljcy1jb3Vyc2U%2FdXRtX3NvdXJjZT1zdHVkeXBvcnRhbHMmdXRtX2NhbXBhaWduPWxpc3RpbmcmdXRtX21lZGl1bT1saW5rIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,29/01/2021,"Business Intelligence & Analytics, Data Science & Big Data, Artificial Intelligence","[""full ""]"
https://www.mastersportal.com/studies/155153/,Nottingham Trent University Online,Online Master of Business Administration - Data Analytics ,M.B.A.,Online,1½ years,.,"Did you know that 1 in 3 business leaders don’t have the skills to transform data into meaningful intelligence? With our Online Master of Business Administration - Data Analytics at Nottingham Trent University Online, you will stand out among other managers by knowing everything there is to know about data analytics and management and how data insights can take a company to the next level.",.,English,150 alternative credits,Nottingham,.,     81      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Flanding.online.ntu.ac.uk%2Fmba-data-analytics%3Futm_source%3DI-%2BStudyportals%26utm_medium%3DListing%26utm_campaign%3DPPI&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTUxNTMiLCJkIjoiT25saW5lIE1hc3RlciBvZiBCdXNpbmVzcyBBZG1pbmlzdHJhdGlvbiAtIERhdGEgQW5hbHl0aWNzIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ5OGY4YWFkLTAyM2UtNDUyOC1iZGM0LTYyNWYzMGI3NmJlZiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5OTIxOTIiLCJkIjoiaHR0cHM6Ly9sYW5kaW5nLm9ubGluZS5udHUuYWMudWsvbWJhLWRhdGEtYW5hbHl0aWNzP3V0bV9zb3VyY2U9SS0rU3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09TGlzdGluZyZ1dG1fY2FtcGFpZ249UFBJIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,01/05/2021,"Business Intelligence & Analytics, Master in Business Administration (MBA), Data Science & Big Data",.
https://www.mastersportal.com/studies/305897/,University of Birmingham online,Design for Learning Environments ,Postgraduate Certificate,Online,1 year,.,"Online education has dramatically increased in recent years, and learning environments in many sectors and industries now incorporate both digital and physical environments. The  PGCert in Design for Learning Environments from University of Birmingham online will equip you with the skills and knowledge to design programmes of learning which meet the needs of learners and organisations.",.,English,60 alternative credits,Birmingham,.,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Flanding.birmingham.ac.uk%2Fuob%2Fdfle-cert%2520%3Futm_source%3DI-%2BStudyPortals%26utm_medium%3DListing%26utm_campaign%3DPremium_DFLE_cert&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDU4OTciLCJkIjoiRGVzaWduIGZvciBMZWFybmluZyBFbnZpcm9ubWVudHMiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDk4ZjhhYWQtMDIzZS00NTI4LWJkYzQtNjI1ZjMwYjc2YmVmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2MzUwOCIsImQiOiJodHRwczovL2xhbmRpbmcuYmlybWluZ2hhbS5hYy51ay91b2IvZGZsZS1jZXJ0JTIwP3V0bV9zb3VyY2U9SS0rU3R1ZHlQb3J0YWxzJnV0bV9tZWRpdW09TGlzdGluZyZ1dG1fY2FtcGFpZ249UHJlbWl1bV9ERkxFX2NlcnQiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,01/03/2021,"Education, Design, Data Science & Big Data",.
https://www.mastersportal.com/studies/257362/,"Arden University, Study Center Berlin",Data Analytics and Information Systems Management ,M.Sc.,On Campus,1 year,"15,000","This Data Analytics and Information Systems Management course at Arden University, Study Center Berlin will give you the skills you need to benefit from the opportunities big data offers. Gaining this essential knowledge will allow you to apply data handling methods to inform your business decisions and ensure your firm’s information systems are aligned with business goals and strategies.",.,English,On Campus,Berlin,Germany,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DMTgwMA%253D%253D&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTczNjIiLCJkIjoiRGF0YSBBbmFseXRpY3MgYW5kIEluZm9ybWF0aW9uIFN5c3RlbXMgTWFuYWdlbWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkOThmOGFhZC0wMjNlLTQ1MjgtYmRjNC02MjVmMzBiNzZiZWYiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTEwNTc4IiwiZCI6Imh0dHBzOi8vZ3VzLndlYm9zYXVydXMuY28udWsvaW5ib3VuZC9jbGljaz9jdElEPU1UZ3dNQSUzRCUzRCIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,01/02/2021,"Management, Organisation & Leadership, Informatics & Information Sciences, Data Science & Big Data","[""year""]"
https://www.mastersportal.com/studies/226392/,Arden University Online,Data Analytics and Finance ,M.Sc.,Online,1½ years,"2,105","The future is data and the better you are equipped to deal with a world of information, the greater your chances for success. In this Data Analytics and Finance programme from Arden University Online you will learn to make the best use of big data in the competitive field of finance.",.,English,Online,Coventry,.,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DMjU2&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMjYzOTIiLCJkIjoiRGF0YSBBbmFseXRpY3MgYW5kIEZpbmFuY2UiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDk4ZjhhYWQtMDIzZS00NTI4LWJkYzQtNjI1ZjMwYjc2YmVmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjA3NTA0MCIsImQiOiJodHRwczovL2d1cy53ZWJvc2F1cnVzLmNvLnVrL2luYm91bmQvY2xpY2s%2FY3RJRD1NalUyIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,31/01/2022,"Finance, Business Intelligence & Analytics, Data Science & Big Data","[""year ""]"
https://www.mastersportal.com/studies/305261/,NOVA IMS,Data Driven Marketing - Data Science for Marketing ,M.Sc.,On Campus,2 years,"3,000","The Master program in Data Driven Marketing - Data Science for Marketing from NOVA IMS is designed to provide excellent training, articulating key concepts and challenges for marketing decision-making in its multiple strategic, innovation and methodological strands with practical data-oriented processing, artificial intelligence and analysis of social networks of consumers. ",.,English,On Campus,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.novaims.unl.pt%2FMDDM-DS4M%3Flang%3DEN&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDUyNjEiLCJkIjoiRGF0YSBEcml2ZW4gTWFya2V0aW5nIC0gRGF0YSBTY2llbmNlIGZvciBNYXJrZXRpbmciLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDk4ZjhhYWQtMDIzZS00NTI4LWJkYzQtNjI1ZjMwYjc2YmVmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2MjgwNSIsImQiOiJodHRwczovL3d3dy5ub3ZhaW1zLnVubC5wdC9NRERNLURTNE0%2FbGFuZz1FTiIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,04/03/2021,07/09/2021,"Marketing, Data Science & Big Data, Machine Learning","[""year""]"
https://www.mastersportal.com/studies/176312/,edX - online learning platform,Big Data MicroMasters Program ,Pre-Master,Online,1 year,"1,180",EdX is an online learning platform trusted by over 12 million users offering the Big Data MicroMasters Program in collaboration with University of Adelaide - AdelaideX. Transform big data into business insights and solutions.,.,English,12 alternative credits,Adelaide,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.awin1.com%2Fcread.php%3Fawinmid%3D6798%26awinaffid%3D203405%26clickref%3DPM%26ued%3Dhttps%253A%252F%252Fwww.edx.org%252Fmicromasters%252Fadelaidex-big-data&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNzYzMTIiLCJkIjoiQmlnIERhdGEgTWljcm9NYXN0ZXJzIFByb2dyYW0iLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDk4ZjhhYWQtMDIzZS00NTI4LWJkYzQtNjI1ZjMwYjc2YmVmIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjAxOTkzNCIsImQiOiJodHRwczovL3d3dy5hd2luMS5jb20vY3JlYWQucGhwP2F3aW5taWQ9Njc5OCZhd2luYWZmaWQ9MjAzNDA1JmNsaWNrcmVmPVBNJnVlZD1odHRwcyUzQSUyRiUyRnd3dy5lZHgub3JnJTJGbWljcm9tYXN0ZXJzJTJGYWRlbGFpZGV4LWJpZy1kYXRhIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,.,"Informatics & Information Sciences, Computer Sciences, Data Science & Big Data","[""year ""]"
https://www.mastersportal.com/studies/305297/,NOVA IMS,Data Driven Marketing - Digital Marketing and Analytics ,M.Sc.,On Campus,2 years,"3,000","The Master Program in Data Driven Marketing - Digital Marketing and Analytics is from NOVA IMS is aimed at managers, experts and other professionals who want to obtain skills in Digital Marketing and Web Analytics, using the most advanced methodologies for collecting, analyzing and processing data to support decision making in Web Marketing.",.,English,On Campus,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.novaims.unl.pt%2FMDDM-DMA%3Flang%3DEN&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDUyOTciLCJkIjoiRGF0YSBEcml2ZW4gTWFya2V0aW5nIC0gRGlnaXRhbCBNYXJrZXRpbmcgYW5kIEFuYWx5dGljcyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkOThmOGFhZC0wMjNlLTQ1MjgtYmRjNC02MjVmMzBiNzZiZWYiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYyODA2IiwiZCI6Imh0dHBzOi8vd3d3Lm5vdmFpbXMudW5sLnB0L01ERE0tRE1BP2xhbmc9RU4iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,04/03/2021,06/09/2021,"Marketing, Data Science & Big Data, Digital Marketing","[""year""]"
https://www.mastersportal.com/studies/222820/,edX - online learning platform,Internet of Things (IoT) MicroMasters Program ,Pre-Master,Online,10 months,"1,141",EdX is an online learning platform trusted by over 12 million users offering the Internet of Things (IoT) MicroMasters Program in collaboration with Curtin University - CurtinX. Learn to guide IoT projects and design IoT solutions.,.,English,100 alternative credits,Bentley,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.awin1.com%2Fcread.php%3Fawinmid%3D6798%26awinaffid%3D203405%26clickref%3DPM%26ued%3Dhttps%253A%252F%252Fwww.edx.org%252Fmicromasters%252Fcurtinx-internet-of-things-iot&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMjI4MjAiLCJkIjoiSW50ZXJuZXQgb2YgVGhpbmdzIChJb1QpIE1pY3JvTWFzdGVycyBQcm9ncmFtIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ5OGY4YWFkLTAyM2UtNDUyOC1iZGM0LTYyNWYzMGI3NmJlZiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIwNzEyNDQiLCJkIjoiaHR0cHM6Ly93d3cuYXdpbjEuY29tL2NyZWFkLnBocD9hd2lubWlkPTY3OTgmYXdpbmFmZmlkPTIwMzQwNSZjbGlja3JlZj1QTSZ1ZWQ9aHR0cHMlM0ElMkYlMkZ3d3cuZWR4Lm9yZyUyRm1pY3JvbWFzdGVycyUyRmN1cnRpbngtaW50ZXJuZXQtb2YtdGhpbmdzLWlvdCIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,.,"Informatics & Information Sciences, Business Information Systems, Data Science & Big Data","[""full ""]"
https://www.mastersportal.com/studies/255645/,edX - online learning platform,Statistics and Data Science MicroMaster ,Pre-Master,Online,"1 year, 3 months",887,EdX is an online learning platform trusted by over 12 million users offering the Statistics and Data Science MicroMaster Program course in collaboration with Massachusetts Institute of Technology - MITx. Master the skills needed to solve complex data challenges.,.,English,3 alternative credits,Cambridge,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.awin1.com%2Fcread.php%3Fawinmid%3D6798%26awinaffid%3D203405%26clickref%3DPM%26ued%3Dhttps%253A%252F%252Fwww.edx.org%252Fmicromasters%252Fmitx-statistics-and-data-science&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTU2NDUiLCJkIjoiU3RhdGlzdGljcyBhbmQgRGF0YSBTY2llbmNlIE1pY3JvTWFzdGVyIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ5OGY4YWFkLTAyM2UtNDUyOC1iZGM0LTYyNWYzMGI3NmJlZiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxMDg2NzQiLCJkIjoiaHR0cHM6Ly93d3cuYXdpbjEuY29tL2NyZWFkLnBocD9hd2lubWlkPTY3OTgmYXdpbmFmZmlkPTIwMzQwNSZjbGlja3JlZj1QTSZ1ZWQ9aHR0cHMlM0ElMkYlMkZ3d3cuZWR4Lm9yZyUyRm1pY3JvbWFzdGVycyUyRm1pdHgtc3RhdGlzdGljcy1hbmQtZGF0YS1zY2llbmNlIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=d10c6f40-8413-41db-9662-cdc7b7b5cba1&sid=804c6a3c-f59f-4459-97c5-ddcab37a1165,.,.,"Statistics, Business Intelligence & Analytics, Data Science & Big Data","[""year ""]"
