platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/115073/,Radboud University,"Economics - Economics, Behaviour and Policy ",M.Sc.,On Campus,1 year,"2,168","This Economics - Economics, Behaviour and Policy specialisation at Radboud University  deals with a broad spectrum of policy issues, ranging from innovation policy, voter and consumer behaviour, to issues such as policy for gender equality or happiness.",101st ,English,60 ECTS,Nijmegen,Netherlands,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ru.nl%2Fenglish%2Feducation%2Fmasters%2Feconomics-behaviour-and-policy%2F%3Futm_source%3Dmastersportal.eu%26utm_medium%3Dprofielpagina%26utm_term%3Deconomics-behaviour-policy%26utm_campaign%3Dmastersportal-portal&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxMTUwNzMiLCJkIjoiRWNvbm9taWNzIC0gRWNvbm9taWNzLCBCZWhhdmlvdXIgYW5kIFBvbGljeSIsImwiOiJwcmVtaXVtIn0sInMiOiJkaS00fGVuLTI0ODl8bHYtbWFzdGVyfHRjLUVVUnx0ci1bNTAwLDEwMDBdLFsxMDAwLDUwMDBdfHVjLTExfHVyLTM4IiwidSI6eyJpIjoiMTcyLjMwLjkuMjI3IiwicyI6ImM4OGRkMjQ2LWViNDgtNDEzMS04NjYzLTMxNTQ0MWMwMjU5ZCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5OTUyMTUiLCJkIjoiaHR0cHM6Ly93d3cucnUubmwvZW5nbGlzaC9lZHVjYXRpb24vbWFzdGVycy9lY29ub21pY3MtYmVoYXZpb3VyLWFuZC1wb2xpY3kvP3V0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbC5ldSZ1dG1fbWVkaXVtPXByb2ZpZWxwYWdpbmEmdXRtX3Rlcm09ZWNvbm9taWNzLWJlaGF2aW91ci1wb2xpY3kmdXRtX2NhbXBhaWduPW1hc3RlcnNwb3J0YWwtcG9ydGFsIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/07/2021,01/09/2021,"Economics, Organisational Behaviour, Public Policy"
https://www.mastersportal.com/studies/304370/,Maastricht University,Digital Business and Economics ,M.Sc.,On Campus,1 year,"2,168","Are you interested in how the digital transformation will shape our businesses, society and lives? In the Digital Business and Economics programme at Maastricht University, you will explore how disruptive technologies will significantly impact our society and you will gain expertise on topics such as ethical algorithms and machine morality.",121st ,English,On Campus,Maastricht,Netherlands,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-digital-business-and-economics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDQzNzAiLCJkIjoiRGlnaXRhbCBCdXNpbmVzcyBhbmQgRWNvbm9taWNzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjQ4OXxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVs1MDAsMTAwMF0sWzEwMDAsNTAwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMjciLCJzIjoiYzg4ZGQyNDYtZWI0OC00MTMxLTg2NjMtMzE1NDQxYzAyNTlkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2MTcxNiIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1kaWdpdGFsLWJ1c2luZXNzLWFuZC1lY29ub21pY3MiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/06/2021,01/09/2021,"Economics, Business Administration, International Business"
https://www.mastersportal.com/studies/2596/,Maastricht University,Fiscal Economics ,M.Sc.,On Campus,1 year,"2,143",Are you a creative and analytical thinker? Do you like coming up with smart solutions for tax problems? And would you love to learn about all the ins and outs of the tax system? Then Fiscal Economics programme from Maastricht University might be just the thing for you.,121st ,"Partially taught in English, Partially taught in Dutch",On Campus,Maastricht,Netherlands,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-fiscal-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk2IiwiZCI6IkZpc2NhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yNDg5fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzUwMCwxMDAwXSxbMTAwMCw1MDAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC45LjIyNyIsInMiOiJjODhkZDI0Ni1lYjQ4LTQxMzEtODY2My0zMTU0NDFjMDI1OWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTc5NTQxIiwiZCI6Imh0dHBzOi8vd3d3Lm1hYXN0cmljaHR1bml2ZXJzaXR5Lm5sL2VkdWNhdGlvbi9tYXN0ZXIvbWFzdGVyLWZpc2NhbC1lY29ub21pY3M%2FdXRtX3NvdXJjZT1TdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1jcGMmdXRtX2NhbXBhaWduPWF1Z2RlYzIwMTkiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/06/2021,01/09/2021,"Economics, Finance"
https://www.mastersportal.com/studies/208206/,Maastricht University,Economics and Strategy in Emerging Markets ,M.Sc.,On Campus,1 year,"2,143","Are you fascinated by how emerging markets, such as those of the BRIC countries, work? Do you want the extra challenge of conducting business across borders and in a multi-cultural environment? Do you look forward to operating in rapidly changing economies? If so, the master’s programme in Economics and Strategy in Emerging Markets from Maastricht University could be right for you.",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     550      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-economics-and-strategy-emerging-markets%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMDgyMDYiLCJkIjoiRWNvbm9taWNzIGFuZCBTdHJhdGVneSBpbiBFbWVyZ2luZyBNYXJrZXRzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjQ4OXxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVs1MDAsMTAwMF0sWzEwMDAsNTAwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMjciLCJzIjoiYzg4ZGQyNDYtZWI0OC00MTMxLTg2NjMtMzE1NDQxYzAyNTlkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjA1MzU2NSIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1lY29ub21pY3MtYW5kLXN0cmF0ZWd5LWVtZXJnaW5nLW1hcmtldHM%2FdXRtX3NvdXJjZT1TdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1jcGMmdXRtX2NhbXBhaWduPWF1Z2RlYzIwMTkiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/06/2021,01/09/2021,"Economics, International Development, Strategic Management"
https://www.mastersportal.com/studies/16693/,Radboud University,Economics ,M.Sc.,On Campus,1 year,"2,168","Economists also examine consumers’, businesses’ and governmental financial behaviour and decision-making. Within the Master's in Economics programme at Radboud University, you have a choice between seven Master's specialisations.",101st ,English,60 ECTS,Nijmegen,Netherlands,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ru.nl%2Fmasters%2Feconomics%3Futm_source%3Dmastersportal.eu%26utm_medium%3Dprofielpagina%26utm_term%3Deconomics%26utm_campaign%3Dmastersportal-portal&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjY5MyIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yNDg5fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzUwMCwxMDAwXSxbMTAwMCw1MDAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC45LjIyNyIsInMiOiJjODhkZDI0Ni1lYjQ4LTQxMzEtODY2My0zMTU0NDFjMDI1OWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTk1MTg4IiwiZCI6Imh0dHBzOi8vd3d3LnJ1Lm5sL21hc3RlcnMvZWNvbm9taWNzP3V0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbC5ldSZ1dG1fbWVkaXVtPXByb2ZpZWxwYWdpbmEmdXRtX3Rlcm09ZWNvbm9taWNzJnV0bV9jYW1wYWlnbj1tYXN0ZXJzcG9ydGFsLXBvcnRhbCIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/07/2021,01/09/2021,"Economics, Finance, Financial Mathematics"
https://www.mastersportal.com/studies/2594/,Maastricht University,Financial Economics ,M.Sc.,On Campus,1 year,"2,143","Are you intrigued by the role of central banks, for example the part the ECB played in saving the financial system? Or would you like to come up with new business models that can be introduced in the financial sector, since the old ones no longer seem to work? If so, the master's in Financial Economics from Maastricht University can be your passport to the world of financial markets",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     500      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-financial-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk0IiwiZCI6IkZpbmFuY2lhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yNDg5fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzUwMCwxMDAwXSxbMTAwMCw1MDAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC45LjIyNyIsInMiOiJjODhkZDI0Ni1lYjQ4LTQxMzEtODY2My0zMTU0NDFjMDI1OWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTc5NTIzIiwiZCI6Imh0dHBzOi8vd3d3Lm1hYXN0cmljaHR1bml2ZXJzaXR5Lm5sL2VkdWNhdGlvbi9tYXN0ZXIvbWFzdGVyLWZpbmFuY2lhbC1lY29ub21pY3M%2FdXRtX3NvdXJjZT1TdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1jcGMmdXRtX2NhbXBhaWduPWF1Z2RlYzIwMTkiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/06/2021,01/09/2021,"Economics, Finance, Actuarial Science"
https://www.mastersportal.com/studies/115564/,Radboud University,Economics - Financial Economics ,M.Sc.,On Campus,1 year,"2,168","The Economics - Financial Economics programme offered at the Radboud University pays special attention to global aspects of corporate finance, preparing students for an international career.",101st ,English,60 ECTS,Nijmegen,Netherlands,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ru.nl%2Fenglish%2Feducation%2Fmasters%2Ffinancial-economics%2F%3Futm_source%3Dmastersportal.eu%26utm_medium%3Dprofielpagina%26utm_term%3Dfinancial-economics%26utm_campaign%3Dmastersportal-portal&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxMTU1NjQiLCJkIjoiRWNvbm9taWNzIC0gRmluYW5jaWFsIEVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOiJkaS00fGVuLTI0ODl8bHYtbWFzdGVyfHRjLUVVUnx0ci1bNTAwLDEwMDBdLFsxMDAwLDUwMDBdfHVjLTExfHVyLTM4IiwidSI6eyJpIjoiMTcyLjMwLjkuMjI3IiwicyI6ImM4OGRkMjQ2LWViNDgtNDEzMS04NjYzLTMxNTQ0MWMwMjU5ZCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5OTUyMTgiLCJkIjoiaHR0cHM6Ly93d3cucnUubmwvZW5nbGlzaC9lZHVjYXRpb24vbWFzdGVycy9maW5hbmNpYWwtZWNvbm9taWNzLz91dG1fc291cmNlPW1hc3RlcnNwb3J0YWwuZXUmdXRtX21lZGl1bT1wcm9maWVscGFnaW5hJnV0bV90ZXJtPWZpbmFuY2lhbC1lY29ub21pY3MmdXRtX2NhbXBhaWduPW1hc3RlcnNwb3J0YWwtcG9ydGFsIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/07/2021,01/09/2021,"Economics, Business Administration, Finance"
https://www.mastersportal.com/studies/116646/,Radboud University,Business Administration - International Business ,M.Sc.,On Campus,1 year,"2,168","Understanding today’s global economic and business landscape requires insights from both economics and business studies. Therefore, the Business Administration - International Business specialisation at Radboud University combines both fields of study, focusing specifically on their relevance for firms that operate in an international environment.",101st ,English,60 ECTS,Nijmegen,Netherlands,     90      ,     6.5      ,     610      ,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.ru.nl%2Fenglish%2Feducation%2Fmasters%2Fbusiness-administration-international-business%2F%3Futm_source%3Dmastersportal.eu%26utm_medium%3Dprofielpagina%26utm_term%3Dinternational-business%26utm_campaign%3Dmastersportal-portal&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxMTY2NDYiLCJkIjoiQnVzaW5lc3MgQWRtaW5pc3RyYXRpb24gLSBJbnRlcm5hdGlvbmFsIEJ1c2luZXNzIiwibCI6InByZW1pdW0ifSwicyI6ImRpLTR8ZW4tMjQ4OXxsdi1tYXN0ZXJ8dGMtRVVSfHRyLVs1MDAsMTAwMF0sWzEwMDAsNTAwMF18dWMtMTF8dXItMzgiLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMjciLCJzIjoiYzg4ZGQyNDYtZWI0OC00MTMxLTg2NjMtMzE1NDQxYzAyNTlkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk5NTIyMSIsImQiOiJodHRwczovL3d3dy5ydS5ubC9lbmdsaXNoL2VkdWNhdGlvbi9tYXN0ZXJzL2J1c2luZXNzLWFkbWluaXN0cmF0aW9uLWludGVybmF0aW9uYWwtYnVzaW5lc3MvP3V0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbC5ldSZ1dG1fbWVkaXVtPXByb2ZpZWxwYWdpbmEmdXRtX3Rlcm09aW50ZXJuYXRpb25hbC1idXNpbmVzcyZ1dG1fY2FtcGFpZ249bWFzdGVyc3BvcnRhbC1wb3J0YWwiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/07/2021,01/09/2021,"Economics, Business Administration, International Business"
https://www.mastersportal.com/studies/2602/,Maastricht University,Economics ,M.Sc.,On Campus,1 year,"2,143","Are your career goals focused on policy related to both public and private economic sectors? If so, then the master’s programme in Economics from Maastricht University might be for you. Economic knowledge is vital to making policy decisions at both the individual and organizational levels of society. ",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     500      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNjAyIiwiZCI6IkVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOiJkaS00fGVuLTI0ODl8bHYtbWFzdGVyfHRjLUVVUnx0ci1bNTAwLDEwMDBdLFsxMDAwLDUwMDBdfHVjLTExfHVyLTM4IiwidSI6eyJpIjoiMTcyLjMwLjkuMjI3IiwicyI6ImM4OGRkMjQ2LWViNDgtNDEzMS04NjYzLTMxNTQ0MWMwMjU5ZCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5Nzk1NTMiLCJkIjoiaHR0cHM6Ly93d3cubWFhc3RyaWNodHVuaXZlcnNpdHkubmwvZWR1Y2F0aW9uL21hc3Rlci9tYXN0ZXItZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09Y3BjJnV0bV9jYW1wYWlnbj1hdWdkZWMyMDE5IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,01/06/2021,01/09/2021,"Economics, Business Administration, International Business"
https://www.mastersportal.com/studies/27416/,ISCTE Business School | University Institute of Lisbon,Economics ,M.Sc.,On Campus,2 years,"2,250","The MSc in Economics is a full-time, two-year Program, fully taught in English. It is designed for students who wish to obtain a rigorous, in-depth education in economic theory and policy, to prepare a successful career in research or as professional economists working on banking, government institutions, and international organizations or as economic advisors and financial consultants.",.,English,120 ECTS,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fibs.iscte-iul.pt%2Fcourse%2F51%2Fmaster-msc-in-economics%3Futm_source%3DPortals%26utm_medium%3DCPC%26utm_campaign%3DStudyportals2020&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzQxNiIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjoiZGktNHxlbi0yNDg5fGx2LW1hc3Rlcnx0Yy1FVVJ8dHItWzUwMCwxMDAwXSxbMTAwMCw1MDAwXXx1Yy0xMXx1ci0zOCIsInUiOnsiaSI6IjE3Mi4zMC45LjIyNyIsInMiOiJjODhkZDI0Ni1lYjQ4LTQxMzEtODY2My0zMTU0NDFjMDI1OWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTY3ODM0IiwiZCI6Imh0dHBzOi8vaWJzLmlzY3RlLWl1bC5wdC9jb3Vyc2UvNTEvbWFzdGVyLW1zYy1pbi1lY29ub21pY3M%2FdXRtX3NvdXJjZT1Qb3J0YWxzJnV0bV9tZWRpdW09Q1BDJnV0bV9jYW1wYWlnbj1TdHVkeXBvcnRhbHMyMDIwIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=a010c3e8-24b2-49f6-a912-dc950de06643&sid=1ef40702-7c9c-4dfc-8ecf-fb7e7206f304,15/02/2021,14/09/2021,"Economics, Econometrics"
