platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines,tuitiontype
https://www.mastersportal.com/studies/2594/,Maastricht University,Financial Economics ,M.Sc.,On Campus,1 year,"2,143","Are you intrigued by the role of central banks, for example the part the ECB played in saving the financial system? Or would you like to come up with new business models that can be introduced in the financial sector, since the old ones no longer seem to work? If so, the master's in Financial Economics from Maastricht University can be your passport to the world of financial markets",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     500      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-financial-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk0IiwiZCI6IkZpbmFuY2lhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiYTU2NTM5MTYtMGZiOS00Y2VlLWI3MTktMDI1MGY3M2FlMjFkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk3OTUyMyIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1maW5hbmNpYWwtZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09Y3BjJnV0bV9jYW1wYWlnbj1hdWdkZWMyMDE5IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,01/06/2021,01/09/2021,"Economics, Finance, Actuarial Science","[""year""]"
https://www.mastersportal.com/studies/279342/,King's College London,International Financial and Commercial Law Online ,LL.M.,Online,2 years,"11,002",Develop your legal expertise and propel your career forward with the International Financial & Commercial Law course from King’s College London. Study the flexible way - online from anywhere in the world.,31st ,English,180 alternative credits,London,.,     100      ,     7      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.kcl.ac.uk%2Fonlinecourses%2Flaw%3Fak_load%3Difcl%26utm_source%3Dstudy-portals%26utm_medium%3Dad%26utm_campaign%3DLLM-IFCL&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzkzNDIiLCJkIjoiSW50ZXJuYXRpb25hbCBGaW5hbmNpYWwgYW5kIENvbW1lcmNpYWwgTGF3IE9ubGluZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJhNTY1MzkxNi0wZmI5LTRjZWUtYjcxOS0wMjUwZjczYWUyMWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTM0NjM4IiwiZCI6Imh0dHBzOi8vd3d3LmtjbC5hYy51ay9vbmxpbmVjb3Vyc2VzL2xhdz9ha19sb2FkPWlmY2wmdXRtX3NvdXJjZT1zdHVkeS1wb3J0YWxzJnV0bV9tZWRpdW09YWQmdXRtX2NhbXBhaWduPUxMTS1JRkNMIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,25/08/2021,28/09/2021,"Finance, Business Law, Commerce","[""year""]"
https://www.mastersportal.com/studies/16335/,Tor Vergata University of Rome,Finance and Banking ,M.Sc.,On Campus,2 years,156,The Master of Science in Finance and Banking offered at Tor Vergata University of Rome is a two-year program of quantitative methods for finance designed for highly talented students who wish to study mathematical and statistical techniques applied to financial markets. ,401st ,English,120 ECTS,Roma,Italy,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Feconomia.uniroma2.it%2Fmaster-science%2Ffinanceandbanking&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjMzNSIsImQiOiJGaW5hbmNlIGFuZCBCYW5raW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImE1NjUzOTE2LTBmYjktNGNlZS1iNzE5LTAyNTBmNzNhZTIxZCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NTk4ODgiLCJkIjoiaHR0cHM6Ly9lY29ub21pYS51bmlyb21hMi5pdC9tYXN0ZXItc2NpZW5jZS9maW5hbmNlYW5kYmFua2luZyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,16/08/2021,01/09/2021,"Economics, Finance","[""year""]"
https://www.mastersportal.com/studies/38719/,University of Warwick,Business with Accounting and Finance,M.Sc.,On Campus,1 year,"28,213",Develop your financial acumen with the MSc Business with Accounting and Finance course available at the University of Warwick. ,62nd ,English,180 alternative credits,London,.,     100      ,     7      ,.,.,.,.,04/10/2021,"Business Administration, Finance, Accounting","[""year ""]"
https://www.mastersportal.com/studies/159618/,London School of Planning and Management,Level 7 Diploma in Accounting and Finance ,Postgraduate Diploma,Online,½ year,"1,466","The Level 7 Diploma in Accounting and Finance offered by the London School of Planning and Management is designed for learners with relevant experience, and/or qualifications the knowledge and skills they need work in the fields of accounting and finance.",.,English,120 alternative credits,London,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.lspm.org.uk%2Fcourse-details.aspx%3FCourseTitle%3DLevel%2B7%2BDiploma%2Bin%2BAccounting%2Band%2BFinance%26subject%3DAccounting%2Band%2BFinance%26Award%3DDiploma&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTk2MTgiLCJkIjoiTGV2ZWwgNyBEaXBsb21hIGluIEFjY291bnRpbmcgYW5kIEZpbmFuY2UiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiYTU2NTM5MTYtMGZiOS00Y2VlLWI3MTktMDI1MGY3M2FlMjFkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjAwMjE2MSIsImQiOiJodHRwczovL3d3dy5sc3BtLm9yZy51ay9jb3Vyc2UtZGV0YWlscy5hc3B4P0NvdXJzZVRpdGxlPUxldmVsKzcrRGlwbG9tYStpbitBY2NvdW50aW5nK2FuZCtGaW5hbmNlJnN1YmplY3Q9QWNjb3VudGluZythbmQrRmluYW5jZSZBd2FyZD1EaXBsb21hIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,.,.,"Finance, Accounting","[""full""]"
https://www.mastersportal.com/studies/2596/,Maastricht University,Fiscal Economics ,M.Sc.,On Campus,1 year,"2,143",Are you a creative and analytical thinker? Do you like coming up with smart solutions for tax problems? And would you love to learn about all the ins and outs of the tax system? Then Fiscal Economics programme from Maastricht University might be just the thing for you.,121st ,"Partially taught in English, Partially taught in Dutch",On Campus,Maastricht,Netherlands,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-fiscal-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk2IiwiZCI6IkZpc2NhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiYTU2NTM5MTYtMGZiOS00Y2VlLWI3MTktMDI1MGY3M2FlMjFkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk3OTU0MSIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1maXNjYWwtZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09Y3BjJnV0bV9jYW1wYWlnbj1hdWdkZWMyMDE5IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,01/06/2021,01/09/2021,"Economics, Finance","[""year""]"
https://www.mastersportal.com/studies/82528/,Xi'an Jiaotong-Liverpool University,Professional Accounting ,M.Sc.,On Campus,1½ years,"11,295","The MSc Professional Accounting programme at Xi'an Jiaotong-Liverpool University has a strong focus on professional training, equipping you with the skills and knowledge to succeed in an international business career.",601st ,English,120 alternative credits,Suzhou,China,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.xjtlu.edu.cn%2Fen%2Fstudy%2Fmasters%2Fmsc-professional-accounting%3Futm_source%3DStudyPortals%26utm_medium%3DProgramme%26utm_campaign%3Dstudent%2Brecruitment%26utm_term%3DMScProaccout&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI4MjUyOCIsImQiOiJQcm9mZXNzaW9uYWwgQWNjb3VudGluZyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJhNTY1MzkxNi0wZmI5LTRjZWUtYjcxOS0wMjUwZjczYWUyMWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTYwOTM1IiwiZCI6Imh0dHBzOi8vd3d3LnhqdGx1LmVkdS5jbi9lbi9zdHVkeS9tYXN0ZXJzL21zYy1wcm9mZXNzaW9uYWwtYWNjb3VudGluZz91dG1fc291cmNlPVN0dWR5UG9ydGFscyZ1dG1fbWVkaXVtPVByb2dyYW1tZSZ1dG1fY2FtcGFpZ249c3R1ZGVudCtyZWNydWl0bWVudCZ1dG1fdGVybT1NU2NQcm9hY2NvdXQiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,15/07/2021,02/09/2021,"Finance, Accounting, Taxation","[""year ""]"
https://www.mastersportal.com/studies/269326/,WHU - Otto Beisheim School of Management,Finance ,M.Sc.,On Campus,"1 year, 5 months","17,858","The full-time, English-taught Master in Finance (MiF) Program at WHU - Otto Beisheim School of Management targets bachelor graduates with an excellent first academic degree in a business-related field of study as well as graduates from STEM subjects with a strong quantitative background and first experience in finance-related topics.",.,English,90 ECTS,Vallendar,Germany,     100      ,     7      ,     600      ,     155  (verbal)     155  (quantitative)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.whu.edu%2Fprograms%2Fmaster-of-science-programs%2Fmaster-in-finance%2F%3Futm_source%3Dstudyportal%26utm_medium%3DCPC&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNjkzMjYiLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJhNTY1MzkxNi0wZmI5LTRjZWUtYjcxOS0wMjUwZjczYWUyMWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTIzMTEzIiwiZCI6Imh0dHBzOi8vd3d3LndodS5lZHUvcHJvZ3JhbXMvbWFzdGVyLW9mLXNjaWVuY2UtcHJvZ3JhbXMvbWFzdGVyLWluLWZpbmFuY2UvP3V0bV9zb3VyY2U9c3R1ZHlwb3J0YWwmdXRtX21lZGl1bT1DUEMiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,31/05/2021,01/09/2021,"Finance, Financial Mathematics","[""year""]"
https://www.mastersportal.com/studies/208519/,University of Aberdeen,Finance ,M.Sc.,Online,2 years,"8,972",The MSc Finance programme offered by University of Aberdeen is the only fully online Master’s in Finance programme offered by one of the UK’s six ancient universities.,178th ,English,180 alternative credits,Aberdeen,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Ftrackclk%2FN3643.2169104STUDYPORTALS%2FB24420899.277827925%3Bdc_trk_aid%3D471943372%3Bdc_trk_cid%3D135097819%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMDg1MTkiLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJhNTY1MzkxNi0wZmI5LTRjZWUtYjcxOS0wMjUwZjczYWUyMWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMDUzODkyIiwiZCI6Imh0dHBzOi8vYWQuZG91YmxlY2xpY2submV0L2RkbS90cmFja2Nsay9OMzY0My4yMTY5MTA0U1RVRFlQT1JUQUxTL0IyNDQyMDg5OS4yNzc4Mjc5MjU7ZGNfdHJrX2FpZD00NzE5NDMzNzI7ZGNfdHJrX2NpZD0xMzUwOTc4MTk7ZGNfbGF0PTtkY19yZGlkPTt0YWdfZm9yX2NoaWxkX2RpcmVjdGVkX3RyZWF0bWVudD07dGZ1YT0iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,27/07/2021,12/10/2021,"Finance, Financial Mathematics, Business Intelligence & Analytics","[""year""]"
https://www.mastersportal.com/studies/140547/,Collegio Carlo Alberto,"Finance, Insurance And Risk Management ",Master,On Campus,1 year,"15,000","The Master in Finance, Insurance And Risk Management offered at Collegio Carlo Alberto prepares for a career in highly-skilled jobs in the financial industry. ",.,English,On Campus,Turin,Italy,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.carloalberto.org%2Feducation%2Fmaster-in-finance-insurance-and-risk-management%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNDA1NDciLCJkIjoiRmluYW5jZSwgSW5zdXJhbmNlIEFuZCBSaXNrIE1hbmFnZW1lbnQiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiYTU2NTM5MTYtMGZiOS00Y2VlLWI3MTktMDI1MGY3M2FlMjFkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk0NjY0NCIsImQiOiJodHRwczovL3d3dy5jYXJsb2FsYmVydG8ub3JnL2VkdWNhdGlvbi9tYXN0ZXItaW4tZmluYW5jZS1pbnN1cmFuY2UtYW5kLXJpc2stbWFuYWdlbWVudC8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8,18/12/2021,01/09/2022,"Finance, Management, Organisation & Leadership, Risk Management","[""year""]"
