platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines,tuitiontype
https://www.mastersportal.com/studies/27416/,ISCTE Business School | University Institute of Lisbon,Economics ,M.Sc.,On Campus,2 years,"2,250","The MSc in Economics is a full-time, two-year Program, fully taught in English. It is designed for students who wish to obtain a rigorous, in-depth education in economic theory and policy, to prepare a successful career in research or as professional economists working on banking, government institutions, and international organizations or as economic advisors and financial consultants.",.,English,120 ECTS,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fibs.iscte-iul.pt%2Fcourse%2F51%2Fmaster-msc-in-economics%3Futm_source%3DPortals%26utm_medium%3DCPC%26utm_campaign%3DStudyportals2020&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzQxNiIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk2NzgzNCIsImQiOiJodHRwczovL2licy5pc2N0ZS1pdWwucHQvY291cnNlLzUxL21hc3Rlci1tc2MtaW4tZWNvbm9taWNzP3V0bV9zb3VyY2U9UG9ydGFscyZ1dG1fbWVkaXVtPUNQQyZ1dG1fY2FtcGFpZ249U3R1ZHlwb3J0YWxzMjAyMCIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,15/02/2021,14/09/2021,"Economics, Econometrics","[""year""]"
https://www.mastersportal.com/studies/70332/,University of Siena,Finance ,M.Sc.,On Campus,2 years,756,"The Finance programme offered by the University of Siena is a two years course delivered entirely in English on financial applications, models and solutions from corporate, economic and quantitative perspectives. The programme covers the most important technical and quantitative aspects of finance in regular use in financial institutions.",401st ,English,120 ECTS,Siena,Italy,     87      ,     5.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.unisi-international.com%2Fprogrammes%2Fmasters-degrees%2Fmsc-finance%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI3MDMzMiIsImQiOiJGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImUzZmY2YTg4LWRhY2ItNGRlMi1iZTc5LWQ2NWI3N2FmY2FlYSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NjI3MzQiLCJkIjoiaHR0cHM6Ly93d3cudW5pc2ktaW50ZXJuYXRpb25hbC5jb20vcHJvZ3JhbW1lcy9tYXN0ZXJzLWRlZ3JlZXMvbXNjLWZpbmFuY2UvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,28/04/2021,28/09/2021,"Business Administration, Finance, Econometrics","[""year""]"
https://www.mastersportal.com/studies/303517/,University of Amsterdam,Business Economics - Master's Qualifying Programme ,Pre-Master,On Campus,9 months,.,"The Business Economics - Master's Qualifying Programme from ONCAMPUS Amsterdam prepares you for postgraduate study at the University of Amsterdam. You will study your Foundation programme at the heart of the University of Amsterdam campus, and attend classes with students from the university.",61st ,English,"On Campus, Blended",Amsterdam,Netherlands,.,     6      ,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Fuva-mqp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDM1MTciLCJkIjoiQnVzaW5lc3MgRWNvbm9taWNzIC0gTWFzdGVyJ3MgUXVhbGlmeWluZyBQcm9ncmFtbWUiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2MDY2MiIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC91dmEtbXFwLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,24/08/2021,"Economics, Business Administration, Econometrics",.
https://www.mastersportal.com/studies/269956/,BI Norwegian Business School,Applied Economics ,M.Sc.,On Campus,2 years,"9,415","The Applied Economics master’s programme from BI Norwegian Business School provides you with the tools to apply economics in real-life situations. You will specialise in industrial organization and macroeconomics, and you will be particularly well prepared for a career as a macro analyst or an economics consultant.",.,English,120 ECTS,Oslo,Norway,     90      ,     6.5      ,     600      ,     152  (verbal)     158  (quantitative)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.bi.edu%2Fstudy-at-bi%2Fforms%2Ffull-time%2Fstudyportals%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNjk5NTYiLCJkIjoiQXBwbGllZCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjEyMzc4OCIsImQiOiJodHRwczovL3d3dy5iaS5lZHUvc3R1ZHktYXQtYmkvZm9ybXMvZnVsbC10aW1lL3N0dWR5cG9ydGFscy8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,01/03/2021,16/08/2021,"Economics, Finance, Econometrics","[""year""]"
https://www.mastersportal.com/studies/253869/,University of Amsterdam,Economics - Master's Qualifying Programme ,Pre-Master,On Campus,9 months,.,"The Economics - Master's Qualifying Programme from ONCAMPUS Amsterdam prepares you for postgraduate study at the University of Amsterdam. You will study your Foundation programme at the heart of the University of Amsterdam campus, and attend classes with students from the university.",61st ,English,"On Campus, Blended",Amsterdam,Netherlands,.,     6      ,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Fuva-mqp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTM4NjkiLCJkIjoiRWNvbm9taWNzIC0gTWFzdGVyJ3MgUXVhbGlmeWluZyBQcm9ncmFtbWUiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjEwNjc5NyIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC91dmEtbXFwLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,24/08/2021,"Economics, Finance, Econometrics",.
https://www.mastersportal.com/studies/303486/,University of Amsterdam,Econometrics - Master's Qualifying Programme ,Pre-Master,On Campus,9 months,.,"The Econometrics - Master's Qualifying Programme from ONCAMPUS Amsterdam prepares you for postgraduate study at the University of Amsterdam. You will study your Foundation programme at the heart of the University of Amsterdam campus, and attend classes with students from the university.",61st ,English,"On Campus, Blended",Amsterdam,Netherlands,.,     6      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Fuva-mqp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDM0ODYiLCJkIjoiRWNvbm9tZXRyaWNzIC0gTWFzdGVyJ3MgUXVhbGlmeWluZyBQcm9ncmFtbWUiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2MDY0NyIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC91dmEtbXFwLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,24/08/2021,"Economics, Finance, Econometrics",.
https://www.mastersportal.com/studies/35302/,Vilnius University,Modelling and Data Analysis ,Master,On Campus,1½ years,"4,250","The aim of the Modelling and Data Analysis programme at Vilnius University is to educate internationally recognized professionals in Modelling and Data Science who expertly utilize the up-to-date knowledge of Statistics, Econometrics and Data Science in developing advanced mathematical (statistical) models for private and public institutions. ",423rd ,English,90 ECTS,Vilnius,Lithuania,     65      ,     5.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fapply.vu.lt%2Fenter%2F471&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzNTMwMiIsImQiOiJNb2RlbGxpbmcgYW5kIERhdGEgQW5hbHlzaXMiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk0MTUyOCIsImQiOiJodHRwczovL2FwcGx5LnZ1Lmx0L2VudGVyLzQ3MSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,01/09/2021,"Econometrics, Statistics, Data Science & Big Data","[""year""]"
https://www.mastersportal.com/studies/2460/,University of Antwerp,Applied Economic Sciences - Economic Policy ,Master,On Campus,1 year,938,Become an expert in Economic Policy and earn your Master’s degree in Applied Economic Sciences - Economic Policy at the University of Antwerp in just one year! The programme is taught in English and welcomes all international applicants.,170th ,English,60 ECTS,Antwerpen,Belgium,     80      ,     6.5      ,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.uantwerpen.be%2Fen%2Feducation%2Feducation-and-training%2Fmaster-economic-policy%2Fprofile%2F%3Futm_campaign%3Dstudyportals-tew%26utm_medium%3Dwebsite%26utm_source%3Dmastersportal_economicpolicy&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNDYwIiwiZCI6IkFwcGxpZWQgRWNvbm9taWMgU2NpZW5jZXMgLSBFY29ub21pYyBQb2xpY3kiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTg2NTEzMiIsImQiOiJodHRwczovL3d3dy51YW50d2VycGVuLmJlL2VuL2VkdWNhdGlvbi9lZHVjYXRpb24tYW5kLXRyYWluaW5nL21hc3Rlci1lY29ub21pYy1wb2xpY3kvcHJvZmlsZS8%2FdXRtX2NhbXBhaWduPXN0dWR5cG9ydGFscy10ZXcmdXRtX21lZGl1bT13ZWJzaXRlJnV0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbF9lY29ub21pY3BvbGljeSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,28/09/2021,"Economics, Econometrics, Public Policy","[""year""]"
https://www.mastersportal.com/studies/42974/,"City, University of London",Development Economics ,M.Sc.,On Campus,1 year,"11,973","By joining the Development Economics programme from City, University of London, you can bridge the gap between economics and development, and learn how to apply economic and quantitative analysis to solve problems that face policy-making and decision-making in developed and developing countries.",350th ,English,180 alternative credits,London,.,     72      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.city.ac.uk%2Fcourses%2Fpostgraduate%2Fdevelopment-economics%3Futm_source%3Dmastersportal%26utm_medium%3Dreferral%26utm_campaign%3DAnnualPlan2021&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI0Mjk3NCIsImQiOiJEZXZlbG9wbWVudCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTNmZjZhODgtZGFjYi00ZGUyLWJlNzktZDY1Yjc3YWZjYWVhIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTc3NjYzMSIsImQiOiJodHRwczovL3d3dy5jaXR5LmFjLnVrL2NvdXJzZXMvcG9zdGdyYWR1YXRlL2RldmVsb3BtZW50LWVjb25vbWljcz91dG1fc291cmNlPW1hc3RlcnNwb3J0YWwmdXRtX21lZGl1bT1yZWZlcnJhbCZ1dG1fY2FtcGFpZ249QW5udWFsUGxhbjIwMjEiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,.,28/09/2021,"Economics, Econometrics","[""year ""]"
https://www.mastersportal.com/studies/200824/,Vrije Universiteit Amsterdam,Econometrics and Operations Research - Econometric Theory ,M.Sc.,On Campus,1 year,"2,168",The Econometrics and Operations Research - Econometric Theory from Vrije Universiteit Amsterdam is an in-depth study into the foundations of econometric methods offers you the challenge to explore and master an active research field that will place you first in any academic or professional career.,101st ,English,60 ECTS,Amsterdam,Netherlands,     92      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fvuweb.vu.nl%2Fen%2Feducation%2Fmaster%2Feconometrics-and-operations-research%2Fcurriculum%3Fyear%3D1st-year%26specialization%3Deconometric-theory%26utm_source%3Dmastersportal%26utm_medium%3Dcpc%26utm_campaign%3Dbaseline&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMDA4MjQiLCJkIjoiRWNvbm9tZXRyaWNzIGFuZCBPcGVyYXRpb25zIFJlc2VhcmNoIC0gRWNvbm9tZXRyaWMgVGhlb3J5IiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImUzZmY2YTg4LWRhY2ItNGRlMi1iZTc5LWQ2NWI3N2FmY2FlYSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIwNDU5MzgiLCJkIjoiaHR0cHM6Ly92dXdlYi52dS5ubC9lbi9lZHVjYXRpb24vbWFzdGVyL2Vjb25vbWV0cmljcy1hbmQtb3BlcmF0aW9ucy1yZXNlYXJjaC9jdXJyaWN1bHVtP3llYXI9MXN0LXllYXImc3BlY2lhbGl6YXRpb249ZWNvbm9tZXRyaWMtdGhlb3J5JnV0bV9zb3VyY2U9bWFzdGVyc3BvcnRhbCZ1dG1fbWVkaXVtPWNwYyZ1dG1fY2FtcGFpZ249YmFzZWxpbmUiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=24db1d92-a4da-49e3-b573-1489063c2e06&sid=2cef1430-f6c4-4956-bba5-3bbf9677975f,01/06/2021,01/09/2021,"Econometrics, Statistics, Actuarial Science","[""year""]"
