platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines,tuitiontype
https://www.mastersportal.com/studies/159103/,Hult International Business School,Masters in Business Analytics ,M.Sc.,On Campus,11 months,"40,667",The one-year Master’s in Business Analytics from Hult International Business School helps students forge a STEM career by learning how to translate data statistics and analysis into impactful business decisions in the golden age of big data.,.,English,120 ECTS,San Francisco,.,.,.,   Required   ,     150  (verbal)     155  (quantitative)     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.hult.edu%2Flanding%2Fhult%2Femail%2Fms%2FMS-A%2F%3Futm_source%3DStudyPortal%26utm_medium%3Daffiliate%26utm_campaign%3DGLOBAL_AFFILIATE_STUDYPORTALS_GENERIC_MIB&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTkxMDMiLCJkIjoiTWFzdGVycyBpbiBCdXNpbmVzcyBBbmFseXRpY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDRiOTg3ZjYtYTRlNS00OGZhLWEyNzAtNTkyMGM5ZTlmNWE0IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjAwMTYwNyIsImQiOiJodHRwczovL3d3dy5odWx0LmVkdS9sYW5kaW5nL2h1bHQvZW1haWwvbXMvTVMtQS8%2FdXRtX3NvdXJjZT1TdHVkeVBvcnRhbCZ1dG1fbWVkaXVtPWFmZmlsaWF0ZSZ1dG1fY2FtcGFpZ249R0xPQkFMX0FGRklMSUFURV9TVFVEWVBPUlRBTFNfR0VORVJJQ19NSUIiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,.,01/09/2021,"Statistics, Business Intelligence & Analytics, Risk Management","[""full ""]"
https://www.mastersportal.com/studies/43373/,NOVA IMS,Statistics and Information Management - Risk Analysis and Management ,M.Sc.,On Campus,1½ years,"4,000","The Master Program in Statistics and Information Management - Risk Analysis and Management from NOVA IMS, aims to train technical and management staff to be able to identify, quantify and manage the risks of financial institutions, and make decisions, according to the capital requirements established by Solvency II and Basel III.",.,English,95 ECTS,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.novaims.unl.pt%2Fmegi-agr%3Flang%3DEN&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI0MzM3MyIsImQiOiJTdGF0aXN0aWNzIGFuZCBJbmZvcm1hdGlvbiBNYW5hZ2VtZW50IC0gUmlzayBBbmFseXNpcyBhbmQgTWFuYWdlbWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkNGI5ODdmNi1hNGU1LTQ4ZmEtYTI3MC01OTIwYzllOWY1YTQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTQ5NzI1IiwiZCI6Imh0dHBzOi8vd3d3Lm5vdmFpbXMudW5sLnB0L21lZ2ktYWdyP2xhbmc9RU4iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,04/03/2021,07/09/2021,"Management, Organisation & Leadership, Statistics, Actuarial Science","[""year""]"
https://www.mastersportal.com/studies/255645/,edX - online learning platform,Statistics and Data Science MicroMaster ,Pre-Master,Online,"1 year, 3 months",887,EdX is an online learning platform trusted by over 12 million users offering the Statistics and Data Science MicroMaster Program course in collaboration with Massachusetts Institute of Technology - MITx. Master the skills needed to solve complex data challenges.,.,English,3 alternative credits,Cambridge,.,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.awin1.com%2Fcread.php%3Fawinmid%3D6798%26awinaffid%3D203405%26clickref%3DPM%26ued%3Dhttps%253A%252F%252Fwww.edx.org%252Fmicromasters%252Fmitx-statistics-and-data-science&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTU2NDUiLCJkIjoiU3RhdGlzdGljcyBhbmQgRGF0YSBTY2llbmNlIE1pY3JvTWFzdGVyIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ0Yjk4N2Y2LWE0ZTUtNDhmYS1hMjcwLTU5MjBjOWU5ZjVhNCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxMDg2NzQiLCJkIjoiaHR0cHM6Ly93d3cuYXdpbjEuY29tL2NyZWFkLnBocD9hd2lubWlkPTY3OTgmYXdpbmFmZmlkPTIwMzQwNSZjbGlja3JlZj1QTSZ1ZWQ9aHR0cHMlM0ElMkYlMkZ3d3cuZWR4Lm9yZyUyRm1pY3JvbWFzdGVycyUyRm1pdHgtc3RhdGlzdGljcy1hbmQtZGF0YS1zY2llbmNlIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,.,.,"Statistics, Business Intelligence & Analytics, Data Science & Big Data","[""year ""]"
https://www.mastersportal.com/studies/16333/,Tor Vergata University of Rome,Economics ,M.Sc.,On Campus,2 years,.,"The Master of Science (LM-56) in Economics at Tor Vergata University of Rome is a two-year full time program of advanced quantitative methods for economics, entirely taught in English and designed for students with high drive and potential, who wish to acquire the tools and knowledge to undertake advanced economic research.",401st ,English,120 ECTS,Roma,Italy,.,.,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Feconomia.uniroma2.it%2Fmaster-science%2Feconomics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjMzMyIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDRiOTg3ZjYtYTRlNS00OGZhLWEyNzAtNTkyMGM5ZTlmNWE0IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTc3NTMyNSIsImQiOiJodHRwczovL2Vjb25vbWlhLnVuaXJvbWEyLml0L21hc3Rlci1zY2llbmNlL2Vjb25vbWljcyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,16/08/2021,14/09/2021,"Economics, Mathematics, Statistics",.
https://www.mastersportal.com/studies/43371/,NOVA IMS,Statistics and Information Management - Information Analysis and Management ,M.Sc.,On Campus,1½ years,"4,000","The Master Program in Statistics and Information Management - Information Analysis and Management from NOVA IMS, aims to train experts and managers qualified to lead and guide information collection, compilation, analysis and management inside organizations.",.,English,95 ECTS,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.novaims.unl.pt%2Fmegi-agi%3Flang%3DEN&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI0MzM3MSIsImQiOiJTdGF0aXN0aWNzIGFuZCBJbmZvcm1hdGlvbiBNYW5hZ2VtZW50IC0gSW5mb3JtYXRpb24gQW5hbHlzaXMgYW5kIE1hbmFnZW1lbnQiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOS4yMDEiLCJzIjoiZDRiOTg3ZjYtYTRlNS00OGZhLWEyNzAtNTkyMGM5ZTlmNWE0IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk1NzI4NSIsImQiOiJodHRwczovL3d3dy5ub3ZhaW1zLnVubC5wdC9tZWdpLWFnaT9sYW5nPUVOIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,04/03/2021,07/09/2021,"Informatics & Information Sciences, Statistics, Business Intelligence & Analytics","[""year""]"
https://www.mastersportal.com/studies/43374/,NOVA IMS,Data Driven Marketing - Marketing Research and CRM ,M.Sc.,On Campus,2 years,"3,000","The Master Program in Data Driven Marketing - Marketing Research and CRM from NOVA IMS, is for managers, experts and other marketing professionals, who wish to obtain and deepen their skills in Marketing Research and CRM, using the most advanced methods of collection, analysis and treatment of information.",.,English,120 ECTS,Lisbon,Portugal,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.novaims.unl.pt%2Fmddm-mrcrm%3Flang%3DEN&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI0MzM3NCIsImQiOiJEYXRhIERyaXZlbiBNYXJrZXRpbmcgLSBNYXJrZXRpbmcgUmVzZWFyY2ggYW5kIENSTSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkNGI5ODdmNi1hNGU1LTQ4ZmEtYTI3MC01OTIwYzllOWY1YTQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTQ5NzI5IiwiZCI6Imh0dHBzOi8vd3d3Lm5vdmFpbXMudW5sLnB0L21kZG0tbXJjcm0%2FbGFuZz1FTiIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,04/03/2021,07/09/2021,"Marketing, Management, Organisation & Leadership, Statistics","[""year""]"
https://www.mastersportal.com/studies/285192/,Barcelona Graduate School of Economics,Economics ,Master,On Campus,9 months,"16,500",The Barcelona GSE Economics Program prepares students for technically demanding jobs and doctoral programs. ,.,English,60 ECTS,Barcelona,Spain,     90      ,     6.5      ,.,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.barcelonagse.eu%2Fstudy%2Fmasters-programs%2Feconomics%3Futm_source%3DStudyportals%26utm_medium%3Dlisting%26utm_campaign%3DMasters2122%26utm_term%3DSeptember&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyODUxOTIiLCJkIjoiRWNvbm9taWNzIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ0Yjk4N2Y2LWE0ZTUtNDhmYS1hMjcwLTU5MjBjOWU5ZjVhNCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNDA1NzkiLCJkIjoiaHR0cHM6Ly93d3cuYmFyY2Vsb25hZ3NlLmV1L3N0dWR5L21hc3RlcnMtcHJvZ3JhbXMvZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09bGlzdGluZyZ1dG1fY2FtcGFpZ249TWFzdGVyczIxMjImdXRtX3Rlcm09U2VwdGVtYmVyIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,30/06/2021,01/09/2021,"Economics, Econometrics, Statistics","[""year ""]"
https://www.mastersportal.com/studies/299127/,University of Glasgow,Urban Analytics ,M.Sc.,On Campus,1 year,"9,554","The Master’s in Urban Analytics at the University of Glasgow will provide you with hands-on experience of cutting-edge datasets and a critical appreciation of the potential for big data and urban analytics to inform urban planning and policy making, as well as an understanding of practical and ethical limitations.",77th ,English,180 alternative credits,Glasgow,.,     90      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Ftrackclk%2FN4378.2169104STUDYPORTALS%2FB24318851.275337080%3Bdc_trk_aid%3D469986066%3Bdc_trk_cid%3D133757113%3Bdc_lat%3D%3Bdc_rdid%3D%3Btag_for_child_directed_treatment%3D%3Btfua%3D%3Bgdpr%3D%24%7BGDPR%7D%3Bgdpr_consent%3D%24%7BGDPR_CONSENT_755%7D&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTkxMjciLCJkIjoiVXJiYW4gQW5hbHl0aWNzIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjkuMjAxIiwicyI6ImQ0Yjk4N2Y2LWE0ZTUtNDhmYS1hMjcwLTU5MjBjOWU5ZjVhNCIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNTU5NDIiLCJkIjoiaHR0cHM6Ly9hZC5kb3VibGVjbGljay5uZXQvZGRtL3RyYWNrY2xrL040Mzc4LjIxNjkxMDRTVFVEWVBPUlRBTFMvQjI0MzE4ODUxLjI3NTMzNzA4MDtkY190cmtfYWlkPTQ2OTk4NjA2NjtkY190cmtfY2lkPTEzMzc1NzExMztkY19sYXQ9O2RjX3JkaWQ9O3RhZ19mb3JfY2hpbGRfZGlyZWN0ZWRfdHJlYXRtZW50PTt0ZnVhPTtnZHByPSR7R0RQUn07Z2Rwcl9jb25zZW50PSR7R0RQUl9DT05TRU5UXzc1NX0iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,31/08/2021,21/09/2021,"Statistics, Urban Planning","[""year""]"
https://www.mastersportal.com/studies/303687/,Barcelona Graduate School of Economics,Economics PhD Track ,Master,On Campus,9 months,"16,500",The PhD track of the Master's Degree in Economics in Finance is the first year of the PhD program at Universitat Pompeu Fabra,.,English,60 ECTS,Barcelona,Spain,     90      ,     6.5      ,.,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.barcelonagse.eu%2Fstudy%2Fmasters-programs%2Fupf-phd-track%3Futm_source%3DStudyportals%26utm_medium%3Dlisting%26utm_campaign%3DMasters2122%26utm_term%3DOctober&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDM2ODciLCJkIjoiRWNvbm9taWNzIFBoRCBUcmFjayIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkNGI5ODdmNi1hNGU1LTQ4ZmEtYTI3MC01OTIwYzllOWY1YTQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYwOTAwIiwiZCI6Imh0dHBzOi8vd3d3LmJhcmNlbG9uYWdzZS5ldS9zdHVkeS9tYXN0ZXJzLXByb2dyYW1zL3VwZi1waGQtdHJhY2s%2FdXRtX3NvdXJjZT1TdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1saXN0aW5nJnV0bV9jYW1wYWlnbj1NYXN0ZXJzMjEyMiZ1dG1fdGVybT1PY3RvYmVyIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,30/06/2021,01/09/2021,"Economics, Econometrics, Statistics","[""year ""]"
https://www.mastersportal.com/studies/304767/,University of Maryland Baltimore County (UMBC),Statistics ,M.Sc.,On Campus,Unknown,930,"The Statistics program at University of Maryland Baltimore County is designed for students interested in pursuing an advanced degree and who have earned the equivalent of a bachelor’s or master’s degree in mathematics, statistics or in other mathematically oriented disciplines.",601st ,English,On Campus,Baltimore Highlands,.,     100      ,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.umbc-global.com%2Fprograms%2Fgraduate-programs%2Fmsc-in-statistics%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDQ3NjciLCJkIjoiU3RhdGlzdGljcyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC45LjIwMSIsInMiOiJkNGI5ODdmNi1hNGU1LTQ4ZmEtYTI3MC01OTIwYzllOWY1YTQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTYyMTM1IiwiZCI6Imh0dHBzOi8vd3d3LnVtYmMtZ2xvYmFsLmNvbS9wcm9ncmFtcy9ncmFkdWF0ZS1wcm9ncmFtcy9tc2MtaW4tc3RhdGlzdGljcy8iLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=eb34b159-ab1b-4487-99e7-bd2b9c655929&sid=80adade1-de9d-4082-a460-45bdf489f986,01/09/2021,26/01/2022,"Mathematics, Statistics","[""credit ""]"
